Filme,PrimeiroNome,UltimoNome,Papel
Um Corpo que Cai,James,Stewart,John Scottie Ferguson
Os Inocentes,Deborah,Kerr,Miss Giddens
Lawrence da Arábia,Peter,OToole,T.E. Lawrence
O Franco Atirador,Robert,DeNiro,Michael
Blade Runner,Harrison,Ford,Rick Deckard
Os Suspeitos,Stephen,Baldwin,McManus
Boogie Nights - Prazer Sem Limites,Mark,Wahlberg,Eddie Adams
"Noivo Neurótico, Noiva Nervosa",Woody,Allen,Alvy Singer
Princesa Mononoke,Claire,Danes,San
Um Sonho de Liberdade,Tim,Robbins,Andy Dufresne
Beleza Americana,Kevin,Spacey,Lester Burnham
Titanic,Kate,Winslet,Rose DeWitt Bukater
Gênio Indomável,Robin,Williams,Sean Maguire
Amargo pesadelo,Jon,Voight,Ed
Trainspotting - Sem Limites,Ewan,McGregor,Renton
Donnie Darko,Maggie,Gyllenhaal,Elizabeth Darko
Quem Quer Ser um Milionário?,Dev,Patel,Older Jamal
"Aliens, O Resgate",Sigourney,Weaver,Ripley
Uma Vida sem Limites,Kevin,Spacey,Bobby Darin
Chinatown,Jack,Nicholson,J.J. Gittes
O Grande Truque,Christian,Bale,Alfred Borden
