Nome,Ano
Os Sete Samurais,1954
Um Corpo que Cai,1958
Os Inocentes,1961
Lawrence da Arábia,1962
Amargo pesadelo,1972
Chinatown,1974
"Noivo Neurótico, Noiva Nervosa",1977
O Franco Atirador,1978
Blade Runner,1982
Amadeus,1984
De Volta para o Futuro,1985
"Aliens, O Resgate",1986
Um Sonho de Liberdade,1994
Os Suspeitos,1995
Coração Valente,1995
Trainspotting - Sem Limites,1996
Titanic,1997
Gênio Indomável,1997
Princesa Mononoke,1997
Boogie Nights - Prazer Sem Limites,1997
De Olhos Bem Fechados,1999
Beleza Americana,1999
A Viagem de Chihiro,2001
Donnie Darko,2001
Uma Vida sem Limites,2004
O Grande Truque,2006
Quem Quer Ser um Milionário?,2008
Avatar,2009
